               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078529,            0.028899,            0.027644,             0.32696,             0.63617,             0.48301,             0.20841,            0.052663,            0.012773,            0.014204,            0.070149,           0.0033167,           0.0033167
                   1,             0.05746,             0.01898,            0.013526,             0.71066,             0.68477,             0.72073,             0.31075,            0.044011,            0.010553,           0.0073745,            0.040018,           0.0065184,           0.0065184
                   2,            0.052272,            0.016906,           0.0094456,             0.67515,             0.66954,             0.71224,             0.27644,             0.04644,            0.010163,           0.0052036,           0.0097539,           0.0095881,           0.0095881
                   3,             0.04672,            0.016478,           0.0077248,             0.75016,             0.75512,              0.7919,             0.38128,            0.038547,           0.0099666,           0.0051763,            0.009406,            0.009406,            0.009406
                   4,            0.043507,            0.016546,           0.0078114,             0.77162,             0.73839,             0.79618,             0.36292,            0.037936,           0.0097438,           0.0053691,            0.009406,            0.009406,            0.009406
                   5,            0.041697,            0.015634,           0.0068743,             0.80149,             0.73893,             0.79378,             0.39058,            0.036851,           0.0096202,           0.0061968,            0.009208,            0.009208,            0.009208
                   6,            0.040502,            0.016042,            0.006032,             0.76245,             0.74331,             0.78311,             0.36679,            0.038268,           0.0094574,           0.0057317,             0.00901,             0.00901,             0.00901
                   7,            0.039389,            0.015912,           0.0051981,             0.81787,             0.76392,             0.82239,             0.42052,            0.034543,           0.0095038,           0.0056113,            0.008812,            0.008812,            0.008812
                   8,            0.038211,            0.014886,           0.0052646,             0.81079,             0.76567,             0.81635,             0.44912,            0.032837,           0.0093922,           0.0047315,            0.008614,            0.008614,            0.008614
                   9,            0.036868,            0.014778,           0.0046265,             0.77695,             0.76156,             0.80796,             0.43714,            0.034548,           0.0094321,           0.0059912,            0.008416,            0.008416,            0.008416
                  10,             0.03665,            0.014676,           0.0042672,             0.79425,             0.78168,               0.832,             0.47478,            0.032131,           0.0092803,           0.0052911,            0.008218,            0.008218,            0.008218
                  11,            0.035377,            0.014627,           0.0037684,             0.74498,             0.78234,             0.80625,             0.44525,            0.032715,           0.0094467,           0.0069035,             0.00802,             0.00802,             0.00802
                  12,            0.034382,            0.013887,            0.003421,             0.75963,             0.81998,             0.82065,             0.46935,            0.031983,             0.00937,           0.0048455,            0.007822,            0.007822,            0.007822
                  13,            0.034356,            0.014061,           0.0036502,             0.82608,             0.77949,             0.83703,             0.47523,             0.03138,           0.0092685,           0.0046442,            0.007624,            0.007624,            0.007624
                  14,            0.033535,            0.013843,           0.0031287,             0.79076,             0.77198,             0.80276,              0.4329,            0.033398,           0.0094759,           0.0066714,            0.007426,            0.007426,            0.007426
                  15,            0.033392,            0.014066,           0.0032746,             0.81449,             0.81329,             0.84564,             0.47468,            0.031645,           0.0090659,           0.0049011,            0.007228,            0.007228,            0.007228
                  16,             0.03281,            0.013807,           0.0029928,             0.77568,              0.8197,             0.81571,             0.46931,            0.030453,           0.0094582,           0.0064901,             0.00703,             0.00703,             0.00703
                  17,            0.031972,            0.013351,           0.0029574,             0.81371,             0.80771,             0.84952,             0.49129,            0.030333,           0.0090483,           0.0054331,            0.006832,            0.006832,            0.006832
                  18,            0.032044,            0.013294,           0.0023469,              0.8395,              0.8081,             0.84521,             0.48507,            0.030469,           0.0091502,           0.0046354,            0.006634,            0.006634,            0.006634
                  19,            0.031051,            0.013063,           0.0021933,             0.79593,             0.80291,             0.82341,             0.48625,            0.030588,           0.0091322,           0.0058231,            0.006436,            0.006436,            0.006436
                  20,            0.030753,            0.012896,           0.0024952,             0.76376,             0.85411,             0.85154,             0.49761,            0.030348,           0.0088832,           0.0046704,            0.006238,            0.006238,            0.006238
                  21,            0.030168,            0.012699,           0.0022327,             0.81241,             0.79624,             0.82768,             0.48225,            0.030752,           0.0094708,           0.0042447,             0.00604,             0.00604,             0.00604
                  22,            0.029601,            0.012634,           0.0017999,             0.81585,             0.78869,             0.83679,             0.49145,            0.029973,           0.0094782,           0.0046261,            0.005842,            0.005842,            0.005842
                  23,            0.029278,            0.012482,           0.0020813,             0.81682,             0.81739,             0.84282,              0.5022,             0.02991,           0.0093841,           0.0048329,            0.005644,            0.005644,            0.005644
                  24,            0.029162,            0.012221,            0.001892,             0.80352,             0.81887,             0.85266,             0.49917,             0.02983,           0.0093322,           0.0046135,            0.005446,            0.005446,            0.005446
                  25,            0.028661,            0.012151,           0.0018782,             0.78085,             0.83928,             0.84315,             0.48859,            0.029812,           0.0095702,           0.0052763,            0.005248,            0.005248,            0.005248
                  26,            0.028374,            0.012208,           0.0017814,             0.81205,              0.8434,             0.85998,             0.49346,            0.030625,           0.0092238,           0.0039763,             0.00505,             0.00505,             0.00505
                  27,            0.027712,            0.011586,           0.0015255,             0.80299,             0.83696,             0.84537,             0.48113,            0.030632,           0.0095011,           0.0039532,            0.004852,            0.004852,            0.004852
                  28,            0.027518,            0.011671,           0.0016448,             0.79291,             0.82154,             0.82772,             0.49222,            0.029785,           0.0094367,           0.0054308,            0.004654,            0.004654,            0.004654
                  29,              0.0269,            0.011323,           0.0015904,             0.82749,              0.8132,             0.84924,              0.4997,            0.029615,           0.0095457,           0.0049468,            0.004456,            0.004456,            0.004456
                  30,            0.026937,            0.011495,           0.0014969,              0.8068,             0.80643,             0.83101,             0.49409,            0.029601,            0.009587,           0.0050945,            0.004258,            0.004258,            0.004258
                  31,            0.026445,            0.011189,            0.001355,             0.81424,              0.7846,             0.83009,             0.48652,            0.029903,           0.0098215,           0.0051984,             0.00406,             0.00406,             0.00406
                  32,            0.025926,              0.0113,           0.0012739,             0.80559,             0.81639,             0.83381,             0.49609,            0.029481,           0.0097797,           0.0051762,            0.003862,            0.003862,            0.003862
                  33,            0.025736,            0.011119,           0.0012415,             0.78662,             0.82244,             0.83471,             0.49254,            0.029812,           0.0099486,           0.0055378,            0.003664,            0.003664,            0.003664
                  34,            0.025594,            0.010562,           0.0014936,             0.80509,             0.78837,             0.82476,             0.47192,            0.030575,            0.010094,           0.0054951,            0.003466,            0.003466,            0.003466
                  35,            0.025407,            0.011213,           0.0014614,             0.81106,             0.78812,             0.82849,             0.48896,             0.02977,           0.0098089,           0.0053422,            0.003268,            0.003268,            0.003268
                  36,            0.024762,            0.010861,           0.0011591,             0.82184,             0.78162,             0.82109,             0.48398,            0.029397,            0.010536,            0.005113,             0.00307,             0.00307,             0.00307
                  37,            0.023767,            0.010543,           0.0010905,             0.82791,             0.81589,             0.84569,             0.49828,            0.029585,            0.010082,           0.0050377,            0.002872,            0.002872,            0.002872
                  38,            0.024181,            0.010637,           0.0010109,             0.79337,             0.79782,             0.82696,             0.48762,            0.029648,            0.010392,           0.0051932,            0.002674,            0.002674,            0.002674
                  39,            0.023967,            0.010509,           0.0011077,             0.80187,             0.81552,             0.82447,             0.48914,            0.029714,            0.010124,           0.0054048,            0.002476,            0.002476,            0.002476
                  40,            0.023549,            0.010178,           0.0011463,             0.78597,             0.84412,             0.84013,             0.48696,            0.030017,            0.010093,           0.0050196,            0.002278,            0.002278,            0.002278
                  41,             0.02311,            0.010276,           0.0010091,             0.81426,             0.82377,             0.83063,             0.48932,            0.029881,              0.0104,           0.0049547,             0.00208,             0.00208,             0.00208
                  42,            0.022849,           0.0098749,          0.00092399,             0.82292,             0.80425,             0.83288,             0.49035,            0.029504,            0.010388,           0.0049603,            0.001882,            0.001882,            0.001882
                  43,            0.022216,           0.0099301,          0.00077906,             0.81333,             0.81099,             0.82903,             0.49285,            0.029618,            0.010314,           0.0050345,            0.001684,            0.001684,            0.001684
                  44,            0.022043,           0.0096875,          0.00087843,             0.81275,             0.80867,             0.83758,             0.50062,            0.029332,            0.010431,           0.0052068,            0.001486,            0.001486,            0.001486
                  45,            0.021823,           0.0094772,          0.00080678,             0.78598,             0.82518,             0.83111,             0.49152,            0.029485,            0.010471,           0.0053581,            0.001288,            0.001288,            0.001288
                  46,            0.021688,           0.0097946,          0.00073142,             0.81283,             0.77415,             0.82551,             0.48976,            0.029673,            0.010639,           0.0051464,             0.00109,             0.00109,             0.00109
                  47,            0.021644,             0.00958,          0.00083091,             0.80531,             0.82189,             0.83381,             0.49129,            0.029748,            0.010466,           0.0049698,            0.000892,            0.000892,            0.000892
                  48,            0.021286,           0.0097751,          0.00075745,             0.81322,             0.79406,             0.83459,             0.49821,            0.029274,            0.010497,           0.0053299,            0.000694,            0.000694,            0.000694
                  49,            0.020916,           0.0092186,          0.00076636,             0.82571,             0.80672,             0.83727,             0.49937,            0.029133,            0.010429,           0.0053879,            0.000496,            0.000496,            0.000496
